Date,Open,High,Low,Close,Volume
2-Sep-09,75.34,75.93,74.42,74.56,4288224
1-Sep-09,76.00,77.00,74.97,75.60,5558346
31-Aug-09,74.90,75.07,73.79,74.98,2359680
28-Aug-09,75.74,75.87,74.51,74.95,3394104
27-Aug-09,74.97,75.95,74.66,75.54,3974668
26-Aug-09,74.28,75.09,73.99,74.58,4200784
25-Aug-09,75.25,75.96,74.20,74.43,5364143
24-Aug-09,75.27,75.27,73.73,74.71,4085109
21-Aug-09,75.19,75.38,74.22,74.92,3465547
20-Aug-09,73.72,74.73,73.50,74.62,3000381
19-Aug-09,73.78,74.13,73.21,73.74,2215254
18-Aug-09,74.21,74.80,73.61,74.10,2262641
17-Aug-09,73.83,74.59,73.60,73.96,2363756
14-Aug-09,75.53,75.75,74.11,74.59,2002666
13-Aug-09,75.49,75.77,74.75,75.40,1906166
12-Aug-09,75.30,76.34,75.00,75.65,2688886
11-Aug-09,76.10,76.10,75.05,75.21,2463072
10-Aug-09,76.68,76.73,75.51,76.12,1794692
7-Aug-09,75.93,77.16,75.12,76.76,2317841
6-Aug-09,74.66,75.70,73.96,75.70,3751003
5-Aug-09,75.32,75.60,73.92,74.32,3541188
4-Aug-09,75.51,75.79,75.00,75.47,4114513
3-Aug-09,75.40,75.89,73.35,75.75,3238113
31-Jul-09,74.86,75.91,74.62,74.76,3200051
30-Jul-09,74.62,76.19,74.53,74.65,3836663
29-Jul-09,74.41,75.33,73.79,74.71,3575827
28-Jul-09,73.71,75.42,73.70,75.07,2797931
27-Jul-09,74.14,74.65,73.11,74.55,2769760
24-Jul-09,75.20,75.73,73.93,74.08,4358385
23-Jul-09,76.43,76.55,74.63,75.35,3916057
22-Jul-09,75.84,77.69,75.20,76.25,5788968
21-Jul-09,80.16,80.27,74.36,75.13,13750783
20-Jul-09,81.24,82.15,80.27,82.11,2415743
17-Jul-09,82.10,82.48,80.61,81.09,2513580
16-Jul-09,81.49,82.92,81.09,82.49,1369670
15-Jul-09,81.78,82.30,80.69,81.25,2795939
14-Jul-09,79.95,81.56,79.61,81.19,1431085
13-Jul-09,78.05,80.41,77.67,80.00,2176284
10-Jul-09,78.01,78.38,77.00,77.91,1672031
9-Jul-09,78.60,78.95,77.72,78.28,1457323
8-Jul-09,78.11,78.71,77.77,78.40,2177021
7-Jul-09,80.19,80.48,77.60,78.00,2592204
6-Jul-09,78.87,80.72,78.38,80.50,1797748
2-Jul-09,79.81,79.91,78.02,79.52,2128071
1-Jul-09,80.96,81.32,80.40,80.64,1918943
30-Jun-09,82.04,82.04,80.30,80.65,1746732
29-Jun-09,81.37,82.28,80.64,82.04,1069132
26-Jun-09,80.98,81.55,80.61,80.97,1947190
25-Jun-09,79.16,81.33,79.16,81.13,2443971
24-Jun-09,81.59,82.53,79.14,79.52,2911339
23-Jun-09,81.82,81.91,80.09,81.35,2130691
22-Jun-09,82.34,82.79,81.31,81.48,1769962
19-Jun-09,84.20,84.20,82.44,82.55,2701349
18-Jun-09,82.36,84.36,81.50,83.49,2068803
17-Jun-09,81.86,82.55,81.21,82.05,2055017
16-Jun-09,82.48,82.85,81.46,81.81,1559552
15-Jun-09,82.11,82.53,81.22,82.07,2095748
12-Jun-09,81.69,82.88,81.61,82.77,2313572
11-Jun-09,83.18,84.39,82.11,82.22,2270957
